time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,37.54381,-122.279191,-2.1,,0
1,0,1,2.51,2.51,0,37.543792,-122.279183,-2.1,,0
2,0,1,5.1,2.59,0,37.543773,-122.279172,-2.0,,1
3,0,1,7.79,2.69,0,37.543751,-122.279158,-2.0,,1
4,0,1,10.6,2.81,0,37.543728,-122.279141,-2.0,,3
5,0,1,13.55,2.95,0,37.543704,-122.279123,-2.0,,3
6,0,1,16.62,3.07,0,37.543679,-122.279103,-2.0,,3
7,0,1,19.79,3.17,1,37.543652,-122.279082,-1.9,,3
8,0,1,23.01,3.22,1,37.543625,-122.279061,-1.9,,2
9,0,1,26.28,3.27,1,37.543598,-122.279039,-1.8,,2
10,0,1,29.56,3.28,1,37.54357,-122.279017,-1.8,,3
11,0,1,32.86,3.3,1,37.543542,-122.278996,-1.7,,3
12,0,1,36.15,3.3,1,37.543514,-122.278976,-1.6,,3
13,0,1,39.54,3.38,2,37.543487,-122.278958,-1.6,,3
14,0,1,42.99,3.46,2,37.54346,-122.27894,-1.5,,3
15,0,1,46.47,3.48,2,37.543433,-122.278924,-1.4,,3
16,0,1,49.94,3.47,2,37.543406,-122.27891,-1.3,,2
17,0,1,53.38,3.45,2,37.543379,-122.278896,-1.2,,4
18,0,1,56.8,3.41,2,37.543353,-122.278883,-1.1,,2
19,0,1,60.19,3.39,3,37.543326,-122.278871,-1.0,,6
20,0,1,63.56,3.38,3,37.5433,-122.27886,-0.9,,6
21,0,1,66.94,3.38,3,37.543273,-122.27885,-0.9,,3
22,0,1,70.32,3.38,3,37.543247,-122.278841,-0.9,,3
23,0,1,73.7,3.38,3,37.54322,-122.278832,-0.8,,3
24,0,1,77.08,3.38,3,37.543194,-122.278823,-0.8,,3
25,0,1,80.46,3.38,4,37.543167,-122.278815,-0.8,,3
26,0,1,83.84,3.38,4,37.54314,-122.278807,-0.7,,3
27,0,1,87.22,3.38,4,37.543113,-122.2788,-0.7,,3
28,0,1,90.6,3.38,4,37.543086,-122.278794,-0.7,,3
29,0,1,93.97,3.38,4,37.543059,-122.278787,-0.6,,2
30,0,1,97.35,3.38,5,37.543032,-122.278782,-0.6,,4
31,0,1,100.72,3.37,5,37.543005,-122.278777,-0.6,,2
32,0,1,104.09,3.37,5,37.542977,-122.278772,-0.5,,3
33,0,1,107.47,3.37,5,37.54295,-122.278768,-0.5,,3
34,0,1,110.84,3.37,5,37.542922,-122.278765,-0.5,,3
35,0,1,114.21,3.37,5,37.542895,-122.278762,-0.5,,3
36,0,1,117.58,3.37,6,37.542867,-122.27876,-0.4,,3
37,0,1,120.95,3.37,6,37.54284,-122.278758,-0.4,,3
38,0,1,124.31,3.37,6,37.542812,-122.278757,-0.4,,2
39,0,1,127.68,3.37,6,37.542784,-122.278756,-0.3,,6
40,0,1,131.05,3.37,6,37.542757,-122.278756,-0.3,,6
41,0,1,134.41,3.37,6,37.542729,-122.278756,-0.3,,3
42,0,1,137.78,3.36,7,37.542702,-122.278757,-0.2,,3
43,0,1,141.14,3.36,7,37.542675,-122.278758,-0.2,,3
44,0,1,144.5,3.36,7,37.542648,-122.27876,-0.2,,3
45,0,1,147.86,3.36,7,37.542621,-122.278762,-0.1,,3
46,0,1,151.22,3.36,7,37.542595,-122.278764,-0.1,,3
47,0,1,154.58,3.36,7,37.542569,-122.278767,0.0,,2
48,0,1,157.94,3.36,8,37.542543,-122.27877,0.0,,4
49,0,1,157.94,3.36,8,37.542517,-122.278772,0.0,,2
50,0,1,160.06,3.35,8,37.542491,-122.278772,0.0,,3
51,0,1,163.3,3.35,8,37.542464,-122.278772,0.0,,3
52,0,1,166.39,3.35,8,37.542437,-122.278771,0.0,,3
53,0,1,169.57,3.35,9,37.54241,-122.278772,0.0,,3
54,0,1,172.61,3.35,9,37.542383,-122.278772,0.0,,2
55,0,1,175.74,3.35,9,37.542356,-122.278774,0.0,,4
56,0,1,178.92,3.35,9,37.542328,-122.278775,0.0,,2
57,0,1,182.27,3.34,9,37.5423,-122.278777,-0.1,,4
58,0,1,185.53,3.34,9,37.542272,-122.278779,-0.1,,2
59,0,1,185.53,3.34,10,37.542244,-122.27878,-0.1,,3
60,0,1,185.53,3.34,10,37.542215,-122.278782,-0.1,,3
61,0,1,188.86,3.34,10,37.542186,-122.278784,-0.1,,3
62,0,1,188.86,3.34,10,37.542158,-122.278785,-0.1,,3
63,0,1,188.86,3.34,10,37.54213,-122.278787,-0.2,,2
64,0,1,192.14,3.34,10,37.542102,-122.278788,-0.2,,4
65,0,1,199.36,3.34,11,37.542075,-122.27879,-0.2,,3
66,0,1,202.43,3.34,11,37.542048,-122.278791,-0.2,,3
67,0,1,205.58,3.34,11,37.542021,-122.278793,-0.2,,2
68,0,1,208.49,3.33,11,37.541995,-122.278794,-0.2,,3
69,0,1,211.67,3.33,11,37.541968,-122.278795,-0.2,,3
70,0,1,214.82,3.33,11,37.541941,-122.278797,-0.3,,3
71,0,1,217.52,3.33,11,37.541913,-122.278798,-0.3,,3
72,0,1,220.61,3.33,12,37.541885,-122.278799,-0.3,,3
73,0,1,223.98,3.33,12,37.541856,-122.2788,-0.3,,2
74,0,1,226.78,3.33,12,37.541828,-122.278801,-0.3,,3
75,0,1,230.21,3.33,12,37.541799,-122.278802,-0.3,,3
76,0,1,233.4,3.32,12,37.54177,-122.278803,-0.4,,3
77,0,1,236.22,3.32,12,37.54174,-122.278805,-0.4,,3
78,0,1,239.57,3.32,13,37.541711,-122.278806,-0.4,,3
79,0,1,242.9,3.32,13,37.541681,-122.278808,-0.4,,3
80,0,1,245.74,3.32,13,37.541652,-122.278809,-0.4,,3
81,0,1,249.08,3.32,13,37.541622,-122.278811,-0.3,,3
82,0,1,252.49,3.32,13,37.541592,-122.278813,-0.2,,2
83,0,1,255.5,3.32,13,37.541563,-122.278815,-0.1,,3
84,0,1,258.75,3.32,14,37.541534,-122.278818,-0.1,,3
85,0,1,261.91,3.32,14,37.541506,-122.27882,0.0,,6
86,0,1,265.21,3.32,14,37.541478,-122.278821,0.1,,6
87,0,1,268.49,3.32,14,37.54145,-122.278823,0.2,,3
88,0,1,271.8,3.31,14,37.541421,-122.278824,0.2,,3
89,0,1,274.53,3.31,14,37.541391,-122.278825,0.3,,3
90,0,1,277.74,3.31,15,37.541361,-122.278827,0.4,,2
91,0,1,283.96,3.31,15,37.541331,-122.278828,0.5,,6
92,0,1,287.15,3.31,15,37.541296,-122.278827,0.6,,3
93,0,1,290.51,3.31,15,37.541263,-122.278825,0.7,,3
94,0,1,293.19,3.31,15,37.541232,-122.278825,0.8,,3
95,0,1,296.6,3.3,16,37.541203,-122.278826,0.8,,3
96,0,1,299.81,3.3,16,37.541175,-122.278828,0.9,,5
97,0,1,302.55,3.3,16,37.541148,-122.27883,1.0,,5
98,0,1,305.72,3.3,16,37.54112,-122.278832,1.0,,3
99,0,1,308.94,3.3,16,37.541092,-122.278834,1.1,,3
100,0,1,311.88,3.3,16,37.541063,-122.278836,1.2,,3
101,0,1,315.35,3.3,17,37.541033,-122.278838,1.3,,2
102,0,1,318.76,3.29,17,37.541004,-122.27884,1.3,,4
103,0,1,321.26,3.29,17,37.540974,-122.278843,1.4,,2
104,0,1,324.6,3.29,17,37.540945,-122.278845,1.5,,3
105,0,1,328.0,3.29,17,37.540916,-122.278847,1.6,,3
106,0,1,330.92,3.29,17,37.540888,-122.278849,1.6,,3
107,0,1,334.14,3.29,18,37.54086,-122.278851,1.7,,3
108,0,1,337.17,3.29,18,37.540832,-122.278853,1.8,,5
109,0,1,340.46,3.29,18,37.540805,-122.278855,1.7,,5
110,0,1,343.57,3.29,18,37.540778,-122.278856,1.7,,4
111,0,1,346.88,3.29,18,37.540751,-122.278858,1.7,,2
112,0,1,349.46,3.28,18,37.540725,-122.278859,1.6,,3
113,0,1,352.54,3.28,19,37.540698,-122.27886,1.6,,3
114,0,1,355.6,3.28,19,37.540671,-122.278861,1.6,,3
115,0,1,358.56,3.28,19,37.540645,-122.278861,1.6,,3
116,0,1,361.73,3.28,19,37.540618,-122.278861,1.5,,2
117,0,1,364.84,3.28,19,37.540591,-122.278861,1.5,,3
118,0,1,367.48,3.27,19,37.540564,-122.278861,1.5,,4
119,0,1,370.5,3.27,20,37.540537,-122.278861,1.5,,2
120,0,1,373.62,3.27,20,37.54051,-122.27886,1.5,,3
121,0,1,376.41,3.27,20,37.540483,-122.27886,1.4,,3
122,0,1,379.55,3.27,20,37.540455,-122.27886,1.4,,3
123,0,1,382.89,3.26,20,37.540427,-122.27886,1.4,,3
124,0,1,385.51,3.26,20,37.540399,-122.27886,1.4,,3
125,0,1,388.94,3.26,21,37.540371,-122.278861,1.3,,2
126,0,1,392.04,3.26,21,37.540343,-122.278863,1.3,,6
127,0,1,394.95,3.26,21,37.540314,-122.278865,1.3,,6
128,0,1,398.17,3.26,21,37.540285,-122.278867,1.2,,3
129,0,1,401.35,3.26,21,37.540256,-122.278871,1.2,,3
130,0,1,404.38,3.26,21,37.540226,-122.278875,1.2,,3
131,0,1,407.65,3.26,22,37.540197,-122.278879,1.2,,3
132,0,1,411.12,3.26,22,37.540167,-122.278884,1.1,,3
133,0,1,413.8,3.25,22,37.540138,-122.27889,1.1,,3
134,0,1,417.34,3.25,22,37.540109,-122.278897,1.1,,2
135,0,1,420.83,3.25,22,37.54008,-122.278903,1.1,,3
136,0,1,423.7,3.25,22,37.540052,-122.278911,1.0,,3
137,0,1,427.07,3.25,23,37.540023,-122.278919,1.0,,3
138,0,1,430.34,3.25,23,37.539996,-122.278927,1.0,,3
139,0,1,433.55,3.25,23,37.539969,-122.278936,0.9,,3
140,0,1,436.8,3.25,23,37.539942,-122.278946,0.9,,2
141,0,1,440.1,3.25,23,37.539915,-122.278959,0.8,,3
142,0,1,443.14,3.25,23,37.539887,-122.278973,0.8,,3
143,0,1,446.32,3.25,24,37.539859,-122.278985,0.7,,3
144,0,1,449.33,3.25,24,37.539835,-122.27899,0.7,,3
145,0,1,452.36,3.25,24,37.539814,-122.278983,0.7,,3
146,0,1,454.91,3.24,24,37.539797,-122.278966,0.6,,3
147,0,1,457.6,3.24,24,37.53978,-122.278946,0.6,,2
148,0,1,460.32,3.24,24,37.539763,-122.278924,0.6,,3
149,0,1,463.23,3.24,25,37.539744,-122.278903,0.6,,3
150,0,1,466.23,3.23,25,37.539724,-122.278883,0.6,,3
151,0,1,467.81,3.23,25,37.539702,-122.278865,0.5,,3
152,0,1,470.97,3.22,25,37.539678,-122.27885,0.5,,3
153,0,1,474.13,3.22,25,37.539652,-122.278837,0.5,,3
154,0,1,476.33,3.22,25,37.539626,-122.278827,0.5,,2
155,0,1,479.4,3.22,26,37.539599,-122.278819,0.4,,4
156,0,1,482.51,3.21,26,37.539572,-122.278813,0.4,,5
157,0,1,485.29,3.21,26,37.539545,-122.27881,0.4,,5
158,0,1,488.53,3.21,26,37.539518,-122.278808,0.3,,3
159,0,1,491.66,3.21,26,37.539491,-122.278808,0.3,,3
160,0,1,494.6,3.21,26,37.539464,-122.278809,0.3,,3
161,0,1,497.73,3.21,27,37.539436,-122.27881,0.2,,2
162,0,1,500.84,3.21,27,37.539408,-122.278811,0.2,,3
163,0,1,503.87,3.21,27,37.53938,-122.278812,0.1,,3
164,0,1,506.81,3.21,27,37.539352,-122.278813,0.1,,3
165,0,1,509.99,3.2,27,37.539323,-122.278814,0.1,,3
166,0,1,512.82,3.2,27,37.539296,-122.278815,0.0,,3
167,0,1,516.06,3.2,28,37.539268,-122.278817,0.0,,3
168,0,1,519.16,3.2,28,37.539241,-122.27882,-0.1,,2
169,0,1,521.97,3.2,28,37.539215,-122.278822,-0.1,,3
170,0,1,524.87,3.2,28,37.539189,-122.278826,-0.2,,3
171,0,1,527.88,3.2,28,37.539163,-122.278829,-0.2,,3
172,0,1,531.06,3.2,28,37.539137,-122.278833,-0.2,,3
173,0,1,533.95,3.2,29,37.539111,-122.278836,-0.2,,3
174,0,1,537.18,3.2,29,37.539084,-122.27884,-0.2,,5
175,0,1,539.69,3.19,29,37.539057,-122.278843,-0.2,,5
176,0,1,542.87,3.19,29,37.53903,-122.278848,-0.3,,4
177,0,1,546.08,3.19,29,37.539003,-122.278852,-0.3,,2
178,0,1,548.76,3.19,29,37.538976,-122.278858,-0.3,,3
179,0,1,551.9,3.19,30,37.538949,-122.278864,-0.3,,3
180,0,1,554.94,3.19,30,37.538922,-122.278872,-0.3,,3
181,0,1,558.07,3.19,30,37.538896,-122.27888,-0.3,,3
182,0,1,560.96,3.19,30,37.53887,-122.278891,-0.3,,3
183,0,1,564.01,3.19,30,37.538844,-122.278902,-0.3,,3
184,0,1,566.91,3.18,30,37.538819,-122.278915,-0.4,,2
185,0,1,570.16,3.18,31,37.538795,-122.27893,-0.4,,3
186,0,1,573.41,3.18,31,37.538771,-122.278946,-0.4,,6
187,0,1,575.61,3.18,31,37.538748,-122.278963,-0.4,,6
188,0,1,578.79,3.18,31,37.538726,-122.278981,-0.4,,3
189,0,1,581.7,3.18,31,37.538705,-122.279,-0.4,,2
190,0,1,584.63,3.18,31,37.538684,-122.279019,-0.4,,3
191,0,1,587.39,3.18,32,37.538664,-122.279039,-0.4,,3
192,0,1,590.37,3.17,32,37.538645,-122.27906,-0.4,,3
193,0,1,593.21,3.17,32,37.538626,-122.279082,-0.3,,3
194,0,1,596.42,3.17,32,37.538608,-122.279105,-0.3,,3
195,0,1,599.54,3.17,32,37.538591,-122.27913,-0.3,,3
196,0,1,601.78,3.17,32,37.538573,-122.279157,-0.3,,2
197,0,1,609.73,3.16,33,37.538557,-122.279185,-0.2,,4
198,0,1,613.67,3.16,33,37.538541,-122.279214,-0.2,,2
199,0,1,616.76,3.16,33,37.538525,-122.279244,-0.1,,3
200,0,1,619.97,3.16,33,37.538511,-122.279273,-0.1,,3
201,0,1,623.11,3.16,33,37.538498,-122.279303,0.0,,3
202,0,1,626.1,3.16,33,37.538485,-122.279332,0.0,,3
203,0,1,628.91,3.16,34,37.538473,-122.27936,0.1,,2
204,0,1,631.72,3.16,34,37.538462,-122.279389,0.1,,4
205,0,1,634.6,3.16,34,37.538451,-122.279417,0.2,,2
206,0,1,637.43,3.16,34,37.53844,-122.279445,0.2,,3
207,0,1,640.27,3.15,34,37.538428,-122.279474,0.3,,3
208,0,1,643.15,3.15,34,37.538416,-122.279503,0.3,,3
209,0,1,646.09,3.15,35,37.538404,-122.279533,0.4,,3
210,0,1,649.06,3.15,35,37.538391,-122.279563,0.4,,3
211,0,1,652.06,3.15,35,37.538377,-122.279594,0.5,,3
212,0,1,655.11,3.15,35,37.538364,-122.279625,0.5,,2
213,0,1,658.49,3.15,35,37.53835,-122.279656,0.6,,3
214,0,1,661.85,3.15,35,37.538335,-122.279688,0.6,,3
215,0,1,661.85,3.15,36,37.538321,-122.279719,0.7,,3
216,0,1,661.85,3.15,36,37.538307,-122.279751,0.7,,6
217,0,1,665.05,3.15,36,37.538293,-122.279783,0.7,,6
218,0,1,668.04,3.15,36,37.53828,-122.279815,0.7,,3
219,0,1,671.23,3.15,36,37.538267,-122.279847,0.8,,2
220,0,1,674.55,3.15,36,37.538254,-122.279879,0.8,,3
221,0,1,677.61,3.15,37,37.538242,-122.27991,0.9,,3
222,0,1,680.76,3.15,37,37.53823,-122.279941,0.9,,3
223,0,1,683.94,3.15,37,37.538218,-122.279972,1.0,,3
224,0,1,687.0,3.14,37,37.538205,-122.280002,1.0,,3
225,0,1,689.97,3.14,37,37.538191,-122.280031,1.0,,3
226,0,1,692.79,3.14,37,37.538177,-122.280059,1.0,,2
227,0,1,696.1,3.14,38,37.538161,-122.280087,1.0,,3
228,0,1,699.27,3.14,38,37.538144,-122.280114,1.0,,3
229,0,1,702.62,3.14,38,37.538126,-122.280139,1.0,,3
230,0,1,705.01,3.14,38,37.538106,-122.280164,0.9,,3
231,0,1,708.29,3.14,38,37.538084,-122.280188,0.9,,3
232,0,1,711.54,3.14,38,37.538062,-122.28021,0.9,,3
233,0,1,714.51,3.14,39,37.538038,-122.280232,0.9,,2
234,0,1,717.49,3.14,39,37.538014,-122.280253,0.9,,3
235,0,1,720.82,3.14,39,37.537989,-122.280273,0.9,,3
236,0,1,723.91,3.14,39,37.537964,-122.280293,0.8,,3
237,0,1,727.27,3.14,39,37.537939,-122.280312,0.8,,3
238,0,1,730.72,3.14,39,37.537914,-122.280331,0.8,,3
239,0,1,733.61,3.14,40,37.537889,-122.28035,0.8,,3
240,0,1,736.87,3.14,40,37.537865,-122.280369,0.8,,2
241,0,1,740.07,3.14,40,37.537842,-122.280388,0.7,,6
242,0,1,743.41,3.14,40,37.537819,-122.280409,0.7,,6
243,0,1,746.67,3.14,40,37.537797,-122.280429,0.7,,3
244,0,1,749.65,3.14,40,37.537775,-122.28045,0.6,,3
245,0,1,752.68,3.14,41,37.537753,-122.280471,0.6,,3
246,0,1,756.07,3.14,41,37.53773,-122.280492,0.6,,5
247,0,1,759.34,3.14,41,37.537706,-122.280512,0.5,,5
248,0,1,761.86,3.14,41,37.537681,-122.280531,0.5,,4
249,0,1,765.12,3.13,41,37.537654,-122.280548,0.5,,2
250,0,1,768.47,3.13,41,37.537627,-122.280563,0.4,,3
251,0,1,771.56,3.13,42,37.537599,-122.280576,0.4,,3
252,0,1,774.68,3.13,42,37.537571,-122.280584,0.4,,3
253,0,1,777.84,3.13,42,37.537544,-122.280588,0.3,,3
254,0,1,781.21,3.13,42,37.537517,-122.280588,0.3,,2
255,0,1,784.46,3.13,42,37.537489,-122.280584,0.3,,3
256,0,1,787.76,3.13,42,37.537462,-122.280578,0.3,,3
257,0,1,790.31,3.13,43,37.537435,-122.28057,0.2,,3
258,0,1,798.68,3.13,43,37.537408,-122.280559,0.2,,3
259,0,1,802.89,3.13,43,37.537381,-122.280548,0.2,,3
260,0,1,805.98,3.13,43,37.537354,-122.280536,0.2,,3
261,0,1,809.13,3.13,43,37.537326,-122.280524,0.2,,2
262,0,1,812.24,3.13,43,37.537298,-122.280513,0.1,,4
263,0,1,815.41,3.13,44,37.53727,-122.280503,0.1,,2
264,0,1,818.72,3.13,44,37.537241,-122.280495,0.1,,3
265,0,1,822.1,3.13,44,37.537213,-122.280486,0.1,,3
266,0,1,825.31,3.13,44,37.537186,-122.280476,0.1,,3
267,0,1,828.45,3.13,44,37.537161,-122.280463,0.0,,3
268,0,1,831.55,3.13,44,37.537138,-122.280446,0.0,,3
269,0,1,834.68,3.13,45,37.537119,-122.280422,0.0,,3
270,0,1,838.01,3.13,45,37.537103,-122.280391,0.1,,2
271,0,1,841.42,3.13,45,37.537093,-122.280355,0.1,,3
272,0,1,844.78,3.13,45,37.537087,-122.280315,0.1,,3
273,0,1,848.14,3.13,45,37.537086,-122.280275,0.2,,3
274,0,1,851.51,3.14,45,37.537091,-122.280236,0.2,,3
275,0,1,854.88,3.14,46,37.537102,-122.2802,0.3,,3
276,0,1,858.27,3.14,46,37.537117,-122.280166,0.3,,3
277,0,1,861.76,3.14,46,37.537135,-122.280134,0.4,,2
278,0,1,865.22,3.14,46,37.537154,-122.280103,0.5,,4
279,0,1,868.72,3.14,46,37.537172,-122.280072,0.5,,2
280,0,1,872.16,3.14,46,37.537188,-122.280039,0.6,,3
281,0,1,875.66,3.14,47,37.537199,-122.280004,0.6,,3
282,0,1,879.15,3.14,47,37.537208,-122.279967,0.6,,3
283,0,1,882.64,3.14,47,37.537212,-122.279929,0.5,,3
284,0,1,886.18,3.15,47,37.537214,-122.279889,0.4,,6
285,0,1,889.66,3.15,47,37.537212,-122.279849,0.3,,6
286,0,1,893.08,3.15,47,37.537208,-122.279808,0.2,,3
287,0,1,896.58,3.15,48,37.537202,-122.279767,0.1,,3
288,0,1,900.16,3.15,48,37.537193,-122.279726,0.0,,2
289,0,1,903.83,3.15,48,37.537181,-122.279688,-0.1,,3
290,0,1,907.6,3.15,48,37.537167,-122.279652,-0.2,,3
291,0,1,911.22,3.15,48,37.537149,-122.27962,-0.2,,3
292,0,1,914.63,3.15,48,37.537128,-122.279592,-0.3,,3
293,0,1,918.26,3.16,49,37.537104,-122.27957,-0.3,,3
294,0,1,921.79,3.16,49,37.537077,-122.279553,-0.3,,3
295,0,1,921.79,3.16,49,37.537048,-122.27954,-0.3,,2
296,0,1,921.79,3.16,49,37.537017,-122.279531,-0.3,,4
297,0,1,925.27,3.16,49,37.536987,-122.279525,-0.3,,2
298,0,1,927.98,3.16,49,37.536956,-122.279522,-0.3,,3
299,0,1,936.99,3.16,50,37.536926,-122.279521,-0.2,,3
300,0,1,941.44,3.17,50,37.536896,-122.279523,-0.2,,3
301,0,1,944.8,3.17,50,37.536866,-122.279526,-0.2,,3
302,0,1,948.18,3.17,50,37.536836,-122.279532,-0.1,,3
303,0,1,951.52,3.17,50,37.536806,-122.279538,-0.1,,3
304,0,1,954.89,3.17,50,37.536776,-122.279547,-0.1,,3
305,0,1,958.32,3.17,51,37.536746,-122.279556,-0.1,,3
306,0,1,961.73,3.17,51,37.536716,-122.279564,0.0,,2
307,0,1,965.02,3.17,51,37.536686,-122.279572,0.0,,4
308,0,1,968.44,3.17,51,37.536656,-122.279578,0.0,,2
309,0,1,971.94,3.17,51,37.536625,-122.279581,0.1,,3
310,0,1,975.4,3.17,51,37.536595,-122.279582,0.1,,3
311,0,1,978.81,3.17,52,37.536564,-122.279579,0.2,,3
312,0,1,982.23,3.18,52,37.536534,-122.279575,0.2,,3
313,0,1,985.71,3.18,52,37.536503,-122.279568,0.3,,3
314,0,1,989.22,3.18,52,37.536472,-122.279561,0.4,,3
315,0,1,992.75,3.18,52,37.536441,-122.279552,0.4,,3
316,0,1,996.29,3.18,52,37.536409,-122.279544,0.5,,3
317,0,1,999.89,3.18,53,37.536377,-122.279536,0.5,,2
318,0,1,1003.45,3.19,53,37.536346,-122.279529,0.6,,3
